title,overview,rating,genre
boyz n the hood,boyz n the hood is the popular and successful film and social criticism from john singleton about the conditions in south central los angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,7.6,crime
lilya 4-ever,"lilja lives in poverty and dreams of a better life. her mother moves to the united states and abandons her to her aunt, who neglects her. lilja hangs out with her friends, natasha and volodya, who is suicidal. desperate for money, she starts working as a prostitute, and later meets andrei. he offers her a good job in sweden, but when lilja arrives her life quickly enters a downward spiral.",7.6,crime
changeling,"christine collins is overjoyed when her kidnapped son is brought back home. but when christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum.",7.6,crime
blue velvet,"the discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",7.6,crime
les misérables,"inspired by the 2005 riots in paris, stéphane, a recent transplant to the impoverished suburb of montfermeil, joins the local anti-crime squad. working alongside his unscrupulous colleagues chris and gwada, stéphane struggles to maintain order amidst the mounting tensions between local gangs. when an arrest turns unexpectedly violent, the three officers must reckon with the aftermath and keep the neighborhood from spiraling out of control.",7.6,crime
the big sleep,"private investigator philip marlowe is hired by wealthy general sternwood regarding a matter involving his youngest daughter carmen. before the complex case is over, marlowe sees murder, blackmail, deception, and what might be love.",7.6,crime
andhadhun,a series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,7.6,crime
a prophet,"sentenced to six years in prison, malik el djebena is alone in the world and can neither read nor write. on his arrival at the prison, he seems younger and more brittle than the others detained there. at once he falls under the sway of a group of corsicans who enforce their rule in the prison. as the 'missions' go by, he toughens himself and wins the confidence of the corsican group.",7.6,crime
zodiac,a cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,7.5,crime
unstoppable,"dong-chul and ji-soo are a happily married couple. one day, dong-chul comes home to find his house in disarray and his wife missing.",7.5,crime
bonnie and clyde,"in the 1930s, bored waitress bonnie parker falls in love with an ex-con named clyde barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",7.5,crime
scarface,"in 1920s chicago, italian immigrant and notorious thug, antonio ""tony"" camonte, shoots his way to the top of the mobs while trying to protect his sister from the criminal life.",7.5,crime
donnie brasco,an fbi undercover agent infiltrates the mob and identifies more with the mafia life at the expense of his regular one.,7.5,crime
the initiated,"based on the novels by colombian writer mario mendoza and on the character of detective frank molina, the filming of los initiados took place in bogotá. in the saga of frank molina, which uses the books lady massacre, la melancolia de los feos, el diario del fin del mundo and akelarre, the story of an alcoholic private investigator who unmasks sinister plots within the underworld of bogotá is told.",7.5,crime
serpico,"frank serpico is an idealistic new york city cop who refuses to take bribes, unlike the rest of the force. his actions get frank shunned by the other officers, and often placed in dangerous situations by his partners. when his superiors ignore frank's accusations of corruption, he decides to go public with the allegations. although this causes the knapp commission to investigate his claims, frank has also placed a target on himself.",7.5,crime
badlands,an impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the south dakota badlands.,7.5,crime
