title,overview,rating,genre
le samouraï,"after carrying out a flawlessly planned hit, jef costello, a contract killer with samurai instincts, finds himself caught between a persistent police investigator and a ruthless employer, and not even his armor of fedora and trench coat can protect him.",7.8,crime
the batman,"in his second year of fighting crime, batman uncovers corruption in gotham city that connects to his own family while facing a serial killer known as the riddler.",7.7,crime
wrath of man,"a cold and mysterious new security guard for a los angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. the crew is left wondering who he is and where he came from. soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",7.7,crime
nightcrawler,"when lou bloom, desperate for work, muscles into the world of l.a. crime journalism, he blurs the line between observer and participant to become the star of his own story. aiding him in his effort is nina, a tv-news veteran.",7.7,crime
strangers on a train,"a deranged socialite accosts a tennis star with his theory that if two strangers trade murders, they can disguise their motives and avoid suspicion.",7.7,crime
primal fear,"an arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. the case gets a lot more complex when the accused reveals that there may or may not have been a third person in the room.",7.7,crime
the stoning of soraya m.,"a drama set in 1986 iran and centered on a man, sahebjam, whose car breaks down in a remote village and enters into a conversation with zahra, who relays to him the story about her niece, soraya, whose arranged marriage to an abusive tyrant had a tragic ending.",7.7,crime
mother,"a mother lives quietly with her son. one day, a girl is brutally killed, and the boy is charged with the murder. now, it's his mother's mission to prove him innocent.",7.7,crime
fireworks,"detective nishi is relieved from a stakeout to visit his sick wife in hospital. he is informed that she is terminally ill, and is advised to take her home. during his visit, a suspect shoots one detective dead and leaves nishi's partner, horibe, paralyzed. nishi leaves the police force to spend time with his wife at home, and must find a way to pay off his debts to the yakuza.",7.7,crime
in the heat of the night,"african-american philadelphia police detective virgil tibbs is arrested on suspicion of murder by bill gillespie, the racist police chief of tiny sparta, mississippi. after tibbs proves not only his own innocence but that of another man, he joins forces with gillespie to track down the real killer. their investigation takes them through every social level of the town, with tibbs making enemies as well as unlikely friends as he hunts for the truth.",7.7,crime
drishyam,"a simple, street-smart man tries to protect his family from a tough cop looking for his missing son.",7.7,crime
kingsman: the secret service,the story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,7.6,crime
the irishman,"pennsylvania, 1956. frank sheeran, a war veteran of irish origin who works as a truck driver, accidentally meets mobster russell bufalino. once frank becomes his trusted man, bufalino sends him to chicago with the task of helping jimmy hoffa, a powerful union leader related to organized crime, with whom frank will maintain a close friendship for nearly twenty years.",7.6,crime
sleepers,two gangsters seek revenge on the state jail worker who during their stay at a youth prison sexually abused them. a sensational court hearing takes place to charge him for the crimes.,7.6,crime
hot fuzz,"as a former london constable, nicholas angel finds it difficult to adapt to his new assignment in the sleepy british village of sandford. not only does he miss the excitement of the big city, but he also has a well-meaning oaf for a partner. however, when a series of grisly accidents rocks sandford, angel smells something rotten in the idyllic village.",7.6,crime
