title,authors,overview,price(€),genre
Truly Madly Guilty,Liane Moriarty,"From the bestselling author behind the addictive, EMMY and GOLDEN GLOBE-winning HBO sensation BIG LITTLE LIES comes a cocktail of family, friendship, and the fear of what could have been . . ....",€14.34,romance
Ugly Love,Colleen Hoover,A feisty yet heart-breaking love story from New York Timesbestseller Colleen Hoover,€12.82,romance
Lord's Prayer,"Rock, Debbie Lush",A stylish children's edition of the Lord's Prayer published to mark the millennium of Jesus' birth,€8.80,romance
Rosie Project,Graeme Simsion,"A thirty-nine-year-old geneticist, Don's never had a second date. So he devises the Wife Project, a scientific test to find the perfect partner. Enter Rosie - 'the world's most incompatible woman' - throwing Don's safe, ordered life into chaos. But what is this unsettling, alien emotion he's feeling?",€13.19,romance
Lemon Tree Café,Cathy Bramley,"When Rosie Featherstone finds herself unexpectedly jobless, the offer to help her beloved Italian grandmother out at the Lemon Tree Cafe - a little slice of Italy nestled in the rolling hills of Derbyshire - feels like the perfect way to keep busy.",€13.33,romance
After You,Jojo Moyes,THE STUNNING SEQUEL TO THE WORLDWIDE PHENOMENON ME BEFORE YOU...,€13.84,romance
Me Before You,Jojo Moyes,Lou Clark knows lots of things. She knows how many footsteps there are between the bus stop and home. She knows she likes working in The Buttered Bun tea shop and she knows she might not love her boyfriend Patrick. What Lou doesn't know is she's about to lose her job or that knowing what's coming is what keeps her sane.,€14.55,romance
Beach Holiday,Isabelle Broom,"When a struggling writer meets a Hollywood actor in The Hamptons, she decides to use his life as the basis for a love story - but her pursuit of success comes at a price . . .",€11.49,romance
Celebrations at the Chateau,Jo Thomas,"Magnifique!' Milly Johnson, bestselling author of My One True North
Cosy up with this heart-warming, romantic story from Jo Thomas about turning your dreams into a reality.
- - - - -
When their grandfather dies, Fliss and her sisters are astonished to inherit a French chateau!",€11.28,romance
Christmas Celebration,Heidi Swain,"Join Heidi Swain for winter by the seaside, as we uncover family secrets and a community in trouble...",€11.59,romance
Secret Midwife,Soraya M. Lane,From the bestselling author of The London Girls comes a story of courage and resilience amidst the horror of Auschwitz?and one woman's last chance to share it with the world....,€13.11,romance
Call Me by Your Name,André Aciman,"This is the story of a sudden and powerful romance that blooms between 17-year-old Elio and his father's house guest, Oliver, during a restless summer on the Italian Riviera. What grows from the depths of their souls is a romance of scarcely six weeks' duration, and an experience that marks them for a lifetime.",€15.20,romance
A Postcard from Capri,Alexandra Brown,The International No.1 Bestseller'The perfect summer escape' - Sarah Morgan'You will love this' Philippa Ashley 'This will sweep you away to Italian citrus groves' Fabulous,€12.73,romance
Daughter of the Moon Goddess,Sue Lynn Tan,The bestselling debut fantasy inspired by the legend of the Chinese moon goddess....,€24.56,romance
Love Me Do,Lindsey Kelk,She's written the perfect romance . . . for someone else,€12.52,romance
Night of the Flood,Zoe Somerville,"A literary thriller set during the devastating North Sea flood of 1953, in which a love triangle turns murderous.",€28.49,romance
"Red, White & Royal Blue",Casey McQuiston,"From the instant New York Times-bestselling author Casey McQuiston comes the TikTok sensation Red, White & Royal Blue.",€11.73,romance
Eleven Minutes,Paulo Coelho,"The bestselling novel from international literary phenomenon Paulo Coelho, author of The Alchemist.",€12.53,romance
Pursuit Of Happiness,Douglas Kennedy,"As the party gets into full swing, in walks Jack Malone, a US Army journalist back from a defeated Germany and a man unlike any Sara has ever met before - one who is destined to change Sara's future forever.
But finding love isn't the same as finding happiness - as Sara and Jack soon find out.",€16.39,romance
Britannia (Eagles of the Empire 14),Simon Scarrow,"A Sunday Times top ten bestseller. Shortlisted for the Wilbur Smith Adventure Writing Prize. Wintery Roman Britain in AD 52 is the setting for an action-packed novel of courage, camaraderie and warfare from No. 1 bestselling Simon Scarrow, author of INVICTUS and GLADIATOR. The fourteenth novel in the bestselling Eagles of the Empire series.",€9.99€11.50,romance
Bully,Penelope Douglas,New York Times bestselling author Penelope Douglas delivers an unforgettable New Adult romance that toes the fine line between love and hate . . .,€12.20,romance
Rachel's Holiday,Marian Keyes,"Rachel Walsh has a pair of size 8 feet and such a fondness for recreational drugs that her family has forked out the cash for a spell in Cloisters - Dublin's answer to the Betty Ford Clinic. She's only agreed to her incarceration because she's heard that rehab is wall-to-wall jacuzzis, and it's about time she had a holiday.",€15.07,romance
Big Little Lies,Liane Moriarty,Jane hasn't lived anywhere longer than six months since her son was born five years ago. She keeps moving in an attempt to escape her past. Now the idyllic seaside town of Pirriwee has pulled her to its shores and Jane finally feels like she belongs.,€13.31,romance
Whiskey Beach,Nora Roberts,A tense and gripping new suspense novel from the world's greatest storyteller,€12.83,romance
Stories Jesus Told,"Nick Butterworth, Mick Inkpen",Nick Butterworth brings his characteristic life to the parables of Jesus,€13.07,romance
When I'm Gone,Abbi Glines,Synopsis coming soon.......,€14.55,romance
Man Who Made Husbands Jealous,Jilly Cooper,"Soon Lysander is convinced that Kitty must be rescued from Rannaldini at all costs, even if it means enlisting the help of the old blue-eyed havoc maker: Rupert Campbell-Black.",€18.45,romance
Few of the Girls,Maeve Binchy,A superb collection from the No.1 bestselling author: 'Reading her books is like gossiping with old friends' DAILY EXPRESS,€12.75,romance
Chocolat,Joanne Harris,Vianne Rocher moves to a French village and opens a chocolate boutique at the beginning of Lent! The local priest is outraged and the ensuing controversy escalates into a 'church not chocolate' battle.,€14.29,romance
Beneath This Man,Jodi Ellen Malpas,"The sensational follow-up to the No.1 bestseller, THIS MAN",€12.12,romance
Lover Awakened,J. R. Ward,"In the shadows of the night in Caldwell, New York, there's a deadly war raging between vampires and their slayers. And there exists a secret band of brothers like no other - six warriors, defenders of their race. Of these, Zsadist is the most terrifying member.",€15.36,romance
Florence Grace,Tracy Rees,"Florrie Buckley is an orphan, living on the wind-blasted moors of Cornwall. It's a hard existence but Florrie is content; she runs wild in the mysterious landscape. She thinks her destiny is set in stone. But when Florrie is fourteen, she inherits a never-imagined secret. -- Books Council of Wales",€14.38,romance
Peculiar Life of a Lonely Postman,Denis Thériault,"For readers of The Hen Who Dreamed She Could Fly and The Guest Cat comes this passionate, bittersweet love story that will move readers old and young",€10.05,romance
Sofia Khan is Not Obliged,Ayisha Malik,The Muslim Bridget Jones - a hilarious and heartwarming contemporary romantic comedy,€14.19,romance
Whiskey Beach,Nora Roberts,A tense and gripping new suspense novel from the world's greatest storyteller,€12.83,romance
One Small Act of Kindness,Lucy Dillon,"What can you do to make the world a better place? A vibrant and unputdownable novel of friendship, secrets and the kindness of strangers, from the bestselling author of A HUNDRED PIECES OF ME.",€13.55,romance
Summer at Hope Meadows,Lucy Daniels,"The first novel in the heartwarming, countryside-set Animal Ark Revisited series, featuring the original characters in the globally bestselling franchise.",€12.61,romance
Shopaholic to the Stars,Sophie Kinsella,"But in between choosing clutch bags and chasing celebrities, Becky loses touch with her family and her best friend .
Caught up in the whirlwind of Tinseltown, has Becky gone too far this time?
Everybody loves Sophie Kinsella:
""I almost cried with laughter"" Daily Mail
""Hilarious .",€14.11,romance
Lydia: The Wild Girl of Pride & Prejudice,Natasha Farrant,"Inspired by Jane Austen's Pride and Prejudice! Lydia can't
stand her country life - but adventure is just around the corner.
Soon, she's swept off her feet by dashing Wickham, following him
glamorous Brighton. Here, a pair of intriguing siblings offer her
the life she thinks she seeks. But can she find out what she really
wants - and get it?",€11.09,romance
Vincent Boys,Abbi Glines,Red hot sexy romance!,€11.10,romance
Dreamfever,Karen Marie Moning,"He has stolen her past, but MacKayla will never allow her sister's murderer to take her future. Yet even the uniquely gifted sidhe-seer is no match for the Lord Master, who has unleashed an insatiable sexual craving that consumes Mac's every thought - and thrusts her into the seductive realm of two very dangerous men.",€15.25,romance
Half-Blood (The First Covenant Novel),Jennifer L. Armentrout,First book in the addictive Covenant series from #1 New York Times bestselling Jennifer L. Armentrout.,€11.81,romance
I'll Give You the Sun,Jandy Nelson,"From the critically acclaimed author of The Sky Is Every-where, a radiant novel that will leave you laughing and crying - all at once. For fans of John Green, Gayle Forman and Lauren Oliver.",€12.86,romance
Tara Road,Maeve Binchy,"Two women - one Irish, one American - exchange homes for the summer; their unlikely and touching friendship unveils secrets and changes lives. 'An irresistible tale' Elle",€10.76€11.50,romance
Summer at the Comfort Food Cafe,Debbie Johnson,"'Full of quirky characters, friendship and humour, you will devour this engaging and heartwarming novel in one sitting' Sunday Express' S Magazine
Summer at the Comfort Food Cafe will make you laugh, make you cry, and make you raid the pantry in the middle of the night...",€12.52,romance
Out of Practice,Penny Parkes,Synopsis coming soon.......,€11.70,romance
Loveliest Chocolate Shop in Paris,Jenny Colgan,"The ever-popular novels of Sunday Times bestselling sensation, Jenny Colgan, are given a beautiful contemporary new look in this re-issue series.",€12.31,romance
Everything but the Truth,Gillian McAllister,A gripping and emotional debut full of shocking twists which is ideal for reading group audiences...,€13.79,romance
Love & Misadventure,Lang Leav,"Beautifully illustrated and thoughtfully conceived, Love & Misadventure will take you on a rollercoaster ride through an ill-fated love affair.",€11.40,romance
Tara Road,Maeve Binchy,"Two women - one Irish, one American - exchange homes for the summer; their unlikely and touching friendship unveils secrets and changes lives. 'An irresistible tale' Elle",€10.76€11.50,romance
I'll Give You the Sun,Jandy Nelson,"From the critically acclaimed author of The Sky Is Every-where, a radiant novel that will leave you laughing and crying - all at once. For fans of John Green, Gayle Forman and Lauren Oliver.",€12.86,romance
It's Raining Men,Milly Johnson,Synopsis coming soon.......,€12.75,romance
Teashop on the Corner,Milly Johnson,Synopsis coming soon.......,€11.69,romance
The Munitions Girls,Rosie Archer,"1943, Gosport, Hampshire. Pixie Saunders is 19 and employed in the local armaments factory. The work is dangerous and the hours long, but in the evenings the girls take off their overalls and go to the pub or, better still, go dancing. Pixie meets American serviceman Cal and falls in love. She couldn't be happier. Then Pixie falls pregnant and her life changes dramatically. Alone and unable to work, she has to rely on the kindness of friends to help her survive. Happiness seems like a thing of the past. Little does she know that there are plenty of good surprises - and good ones at that. Love may be closer than she thinks.",€13.43,romance
The Forbidden,Jodi Ellen Malpas,Annie has never experienced the 'spark' with a guy - the kind of instant chemistry that steals your breath and blindsides you completely. Until a night out with friends brings her face to face with the wickedly sexy and mysterious Jack. It's not just a spark that ignites between them. It's an explosion.,€14.53,romance
Pure (The Second Covenant Novel),Jennifer L. Armentrout,Second book in the addictive Covenant series from #1 New York Times bestselling Jennifer L. Armentrout.,€11.70,romance
Lover at Last,J. R. Ward,"The next must-read author for fans of Charlaine Harris' vampire fiction, in paperback for the first time.",€15.67,romance
Song of the Sea Maid,Rebecca Mascull,"Rich, evocative second novel from the author of THE VISITORS: 'Beautifully written... wonderful stuff.' - Sarah Broadhurst, The Bookseller.",€11.97,romance
Angelfall,Susan Ee,Action-packed and genuinely terrifying fantasy epic novel set six weeks after the world has succumbed to the angel apocalypse.,€12.86,romance
The Story Of Us,Dani Atkins,A woman falls in love with the shadowy stranger who saved her life. A gripping love story from the bestselling author of Fractured.,€12.31,romance
Shell Seekers,Rosamunde Pilcher,The phenomenal and heartwarming bestseller from Rosamunde Pilcher,€11.56€12.65,romance
Losing Hope,Colleen Hoover,The stunning sequel to Hopeless,€11.87,romance
Tremarnock,Emma Burstall,The story of what happens when one shocking turn of events sweeps a small community.,€12.09,romance
Exquisite,Sarah Stovell,"When two writers meet at a retreat, the chemistry is instant, and they begin a sinister relationship ... or do they? An exquisitely tense, twisty She Said/She Said psychological thriller from number one bestselling author Sarah Stovell...",€11.91,romance
Good Omens,"Terry Pratchett, Neil Gaiman","According to the Nice and Accurate Prophecies of Agnes Nutter - the world's only totally reliable guide to the future - the world will end on a Saturday. Next Saturday, in fact. Just after tea.",€14.72,science fiction
Dark Forest,Cixin Liu,"The universe is a forest, patrolled by numberless and nameless predators. In this forest, others are hell, a dire existential threat. Stealth is survival. Any civilisation that reveals its location is prey. Earth has. And the others are on the way.",€16.23,science fiction
Well of Ascension,Brandon Sanderson,"The Dark Lord is dead, and now a new world can be built. The acclaimed epic commercial fantasy published for the first time in the UK.",€15.07,science fiction
Ancillary Justice,Ann Leckie,"The record-breaking debut novel that won every major science fiction award, Ancillary Justice is the story of a warship trapped in a human body and her search for revenge.",€10.58€11.50,science fiction
Mistborn,Brandon Sanderson,What if the Dark Lord won? An acclaimed epic commercial fantasy comes to the UK for the first time.,€15.67,science fiction
Hero of Ages,Brandon Sanderson,"The Mistborn saga comes to its thrilling conclusion, as an acclaimed epic commercial fantasy comes to the UK for the first time.",€16.27,science fiction
Ubik,Philip K Dick,One of the very best must-read SF novels of all time.,€11.95,science fiction
Bromeliad Trilogy,Terry Pratchett,"Truckers . Diggers . WingsTo the thousands of tiny nomes living under the floorboards of a large department Store, there is no Outside. No Day or Night, no Sun or Rain. They're just daft old legends. Until they hear the devastating news that the Store is to be demolished . . .",€13.76,science fiction
Game of Thrones: The Story Continues,George R.R. Martin,"THE INSPIRATION FOR HBO AND SKY'S INTERNATIONAL SMASH HIT GAME OF THRONES
Discover the series behind the global phenomenon and the greatest fantasy epic of the modern age with this seven-book collection.",€81.26,science fiction
Spin the Dawn,Elizabeth Lim,"Project Runway meets Mulan in this sweeping fantasy about a young girl who poses as a boy to compete for the role of imperial tailor and embarks on an impossible journey to sew three magic dresses, from the sun, the moon, and the stars.",€13.35,science fiction
Frankenstein,Mary Shelley,"Obsessed by creating life itself, Victor Frankenstein plunders graveyards for the material to fashion a new being, which he shocks into life by electricity. But his botched creature, rejected by Frankenstein and denied human companionship, sets out to destroy his maker and all that he holds dear.",€20.98,science fiction
Priory of the Orange Tree,Samantha Shannon,"From the internationally bestselling author of The Bone Season, a trailblazing, epic high fantasy about a world on the brink of war with dragons ? and the women who must lead the fight to save it....",€26.61,science fiction
Paper Girls Volume 1,Cliff Chiang,"In the early hours after Halloween of 1988, four 12-year-old newspaper delivery girls uncover the most important story of all time.",€13.18,science fiction
Gaslands: Refuelled,Mike Hutchinson,"An updated set of expanded wargaming rules for the exceptionally popular post-apocalyptic vehicle game, Gaslands.",€25.75,science fiction
Song of Achilles,Madeline Miller,"Traditional Chinese edition of A Song of Achillis, Amazon Best Books of the Month, March 2012. In Traditional Chinese. Annotation copyright Tsai Fong Books, Inc. Distributed by Tsai Fong Books, Inc.",€12.89,science fiction
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,"Having grown tired of life with his aunt, uncle and cousin, Harry runs away and is picked up by the Knight Bus, which provides transport for wayward witches and wizards. On his way back to his third year at Hogwarts, Harry discovers that mass murderer Siruis Black has escaped from Azkaban Prison, and is intent on finding Harry to kill him. With new professor Remus Lupin to help protect him, Harry...",€11.88,science fiction
Mere Christianity,C. S. Lewis,"One of the most popular and beloved introductions to the concept of faith ever written, 'Mere Christianity' has sold millions of copies worldwide.",€15.20,science fiction
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"A narrative particle accelerator that zooms between Wild Turkey Whiskey and Bob Dylan, unicorn skulls and voracious librarians, John Coltrane and Lord Jim.",€13.55,science fiction
Colour Of Magic,Terry Pratchett,"In the beginning there was ...a turtle. Somewhere on the frontier between thought and reality exists the Discworld, a parallel time and place which might sound and smell very much like our own, but which looks completely different. Particularly as it's carried though space on the back of a giant turtle (sex unknown). It plays by different rules.",€12.68,science fiction
Dune,Frank Herbert,"The planet of Arrakis is an inhospitable, barren desert; it's also the only place in the universe where Melange, a rare element with life-changing properties, is found. Whoever controls Arrakis controls the universe, so when the Emperor transfers stewardship of the planet from House Harkonnen to House Atreides, the Harkonnens fight back. Duke Leto Atreides is killed, forcing his son Paul to flee...",€13.67,science fiction
Harry Potter and the Deathly Hallows,J. K. Rowling,"With Voldemort determined to kill Harry, the Order of the Phoenix are forced to step in to help protect him. Can Harry, Ron and Hermione find all the horcruxes before Voldemort finds Harry? And can they trust the help that comes from an unexpected source? With the Dark Lord and his army advancing ever nearer, Harry must rely on his friends like never before, but it may not be enough: Harry might...",€12.99,science fiction
Old Man's War,John Scalzi,A virtuosic debut novel in the tradition of Robert A. Heinlein.,€12.09,science fiction
"Naruto: Itachi's Story, Vol. 1","Masashi Kishimoto, Takashi Yano",Synopsis coming soon.......,€9.91,science fiction
Harry Potter and the Philosopher's Stone,"J. K. Rowling, Jim Kay","Prepare to be spellbound by Jim Kay's dazzling depiction of the wizarding world and much loved characters in this full-colour illustrated hardback edition of the nation's favourite children's book ? Harry Potter and the Philosopher's Stone. Brimming with rich detail and humour that perfectly complements J.K. Rowling's timeless classic, Jim Kay's glorious illustrations will captivate fans and new...",€41.03,science fiction
Harry Potter and the Chamber of Secrets,J. K. Rowling,"Harry's summer has been the worst. Not only has he had no contact with his friends Ron and Hermione, he has to listen to house-elf Dobby and his dire predictions of terrible events to come. Rescued by Ron and his flying car, Harry's second year at Hogwarts gets off to a bad start, and it's only going to get worse. Why does he keep hearing whispers that no one else can hear? Who, or what, is behind...",€11.69,science fiction
Shadowhunter's Codex,"Cassandra Clare, Joshua Lewis",A guide to the world of the Shadowhunters from the international bestselling series The Mortal Instruments and The Infernal Devices.,€11.91,science fiction
Foundation,Isaac Asimov,"The first volume in Issac Asimov's world-famous saga, winner of the Hugo Award for Best All-Time Novel Series.",€17.62,science fiction
Mort,Terry Pratchett,Terry Pratchett's hilarious fourth Discworld novel established once and for all that Death really is a laughing matter...,€9.33€10.35,science fiction
Broken Homes,Ben Aaronovitch,From the author of RIVERS OF LONDON - the SUNDAY TIMES bestselling PC Peter Grant series returns with something dark south of the river...,€32.95,science fiction
Great Dune Trilogy,Frank Herbert,"The classic Dune trilogy, one of the most influential SF series ever written
'I know nothing comparable to it except The Lord of the Rings' Arthur C Clarke",€23.34,science fiction
"DUNE: The Graphic Novel, Book 1: Dune",Frank Herbert,"The definitive graphic novel adaptation of Dune, the groundbreaking science-fiction classic by Frank Herbert...",€12.58,science fiction
Wake of Vultures,Lila Bowen,"A rich, dark fantasy of destiny, death and the supernatural world hiding beneath the surface.",€12.95,science fiction
Infernal Devices 3: Clockwork Princess,Cassandra Clare,Third in Cassandra Clare's internationally bestselling Infernal Devices trilogy about the Shadowhunters.,€10.10,science fiction
Whispers Under Ground,Ben Aaronovitch,A gripping new outing in London for PC Grant in the SUNDAY TIMES bestselling series from Ben Aaronovitch.,€9.64€10.35,science fiction
Rivers of London,Ben Aaronovitch,"The first of the Sunday Times Bestselling Peter Grant series
Discover the million-copy-bestseller series everyone is talking about",€27.91,science fiction
Electric State,Simon Stålenhag,Synopsis coming soon.......,€12.54,science fiction
Flowers For Algernon,Daniel Keyes,"A modern classic, Flowers for Algernon has sold over five million copies worldwide and inspired the Academy Award-winning film Charly.",€13.29,science fiction
Bone Shard Daughter,Andrea Stewart,"An unmissable debut from a major new voice in fantasy, The Bone Shard Daughter is by turns intimate, epic and thrilling - a triumph of storytelling perfect for fans of The City of Brass, The Poppy War and Empire of Sand",€12.09,science fiction
Reaper at the Gates,Sabaa Tahir,The highly anticipated third book in Sabaa Tahir's New York Times bestselling Ember Quartet.,€7.83€10.35,science fiction
Furthest Station,Ben Aaronovitch,"A stunning PC Peter Grant novella continues this bestselling series with commuting ghosts, a kidnapping, and a superb new London mystery!",€13.07,science fiction
Bitch Planet Volume 1,Kelly Sue DeConnick,"In a future just a few years down the road in the wrong direction, a woman's failure to comply with her patriarchal overlords will result in exile to the meanest penal planet in the galaxy. When the newest crop of fresh femmes arrive, can they work together to stay alive or will hidden agendas, crooked guards, and the deadliest sport on.",€12.83,science fiction
Venom Dark and Sweet,Judy I. Lin,The enthralling conclusion to Judy I. Lin's Book of Tea duology-A Magic Steeped in Poison and A Venom Dark and Sweet-is sure to enchant fans of Adrienne Young and Leigh Bardugo.,€24.56,science fiction
Daughter of the Moon Goddess,Sue Lynn Tan,The bestselling debut fantasy inspired by the legend of the Chinese moon goddess....,€10.05,science fiction
Lies Sleeping,Ben Aaronovitch,"The seventh PC Grant mystery is here, continuing bestselling series of London adventures. That's the way to do it . . .",€23.39,science fiction
House of Hunger,Alexis Henderson,"When a band of wounded refugees from beyond the Wall comes to Bethel seeking sanctuary, Immanuelle realises that her nightmares of fire and blood are more than figments . all the way to Hebron, where she meets two ruthless Grand Magisters - brother and sister - who are beind this war on superstition and mysticism.",€10.05,science fiction
Moon Over Soho,Ben Aaronovitch,"Peter Grant is not just a lowly Detective Constable, he's also apprenticed to the last wizard in Britain: policing will never be the same again!",€13.07,science fiction
Star Diaries,Stanislaw Lem,"Written over a period of twenty years, this book features adventures of space traveller Ijon Tichy.",€17.07,science fiction
"No Game No Life, Vol. 1 (light novel)",Yuu Kamiya,In a world where games decide everything - even national borders - a genius brother-sister duo aim to put their gamesmanship to the test...to save humanity!,€19.71,science fiction
Blade Itself,Joe Abercrombie,"The astonishing novel which launched Joe Abercrombie's career, THE BLADE ITSELF is a superb, dark and addictive epic fantasy.",€16.34,science fiction
Berserk Volume 10,Kentaro Miura,"Warrior supreme Guts has returned, and just in time to save the weakened Band of the Hawk from certain destruction... and to form a bond with the beautiful warrior Casca. But job one is to find a way to free Griffith, the Hawks' leader, from the dank dungeons and round-the-clock tortures of the Hawks' former benefactor, the King of Midland.",€11.79,science fiction
Ishmael,Daniel Quinn,"A man and a great ape conduct a series of philosophical conversations in a work that presents a new vision of evolution and humankind and asks the question: does the Earth belong to humans, or do humans belong to the Earth?.",€17.03,science fiction
To Say Nothing of the Dog,Connie Willis,A HUGO AWARD-winning time travel novel from the SFWA grandmaster.,€12.86,science fiction
Invisible Library,Genevieve Cogman,The first novel in this fantastic urban fantasy series.,€13.10,science fiction
Colour of Magic,Terry Pratchett,"On a world supported on the back of a giant turtle (sex unknown), a gleeful, explosive, wickedly eccentric expedition sets out. There's an avaricious but inept wizard, a naive tourist whose luggage moves on hundreds of dear little legs, dragons who only exist if you believe in them, and of course THE EDGE of the planet...",€14.92,science fiction
Do Androids Dream Of Electric Sheep?,Philip K Dick,"The book that inspired the movie Blade Runner. World War Terminus had left the Earth devastated. Through its ruins, bounty hunter Rick Deckard stalked, in search of the renegade replicants who were his prey...",€14.79,science fiction
High-Rise,J. G. Ballard,The unnerving tale of life in a modern tower block running out of control.,€15.07,science fiction
Gemina,"Jay Kristoff, Amie Kaufman","Moving to a space station at the edge of the galaxy was always going to be the death of Hanna's social life, nobody said it might actually get her killed",€17.98,science fiction
Red Seas Under Red Skies,Scott Lynch,Locke Lamora takes to the seas in the sequel to the sensation THE LIES OF LOCKE LAMORA,€15.36,science fiction
Copper Promise (complete novel),Jen Williams,"When it comes to exploring haunted citadels, you should always carry a weapon, trust no one and, most important of all, remember the golden rule: let sleeping gods lie.",€14.29,science fiction
Acheron,Sherrilyn Kenyon,"This is the most awaited book in the Dark-Hunter world to date - the history of Acheron. His past as a human, his birth as a god, and his role as the Dark-Hunter leader. These are the two books of his life released as a single volume.",€17.91,science fiction
Lover Awakened,J. R. Ward,"In the shadows of the night in Caldwell, New York, there's a deadly war raging between vampires and their slayers. And there exists a secret band of brothers like no other - six warriors, defenders of their race. Of these, Zsadist is the most terrifying member.",€12.92,science fiction
Chocolat,Joanne Harris,Vianne Rocher moves to a French village and opens a chocolate boutique at the beginning of Lent! The local priest is outraged and the ensuing controversy escalates into a 'church not chocolate' battle.,€20.87,science fiction
"Black Bullet, Vol. 1 (light novel)",Shiden Kanzaki,The battle for the future has just begun in this futuristic hit light novel series for which an anime adaptation has just aired!,€11.19,science fiction
Kraken Wakes,John Wyndham,"It started with fireballs raining down from the sky and crashing into the oceans' deeps. Then ships began sinking mysteriously and later 'sea tanks' emerged from the deeps to claim people. This book narrates how humankind responds to the threat of its own extinction and, ultimately, asks what we are prepared to do in order to survive.",€13.41,science fiction
Mr Bliss,J. R. R. Tolkien,"The first ever trade edition of Tolkien's illustrated tale about the eccentric Mr Bliss, a man notable for his immensely tall hats and for the girabbit in his garden, whose whimsical decision to buy a motor car quickly becomes a catalogue of disasters.",€12.42,science fiction
Red Prince,A.J. Smith,"In the third book in A.J. Smith's epic fantasy saga of Ro, Alexander Tiris, the last hope of the royal line, can no longer ignore the traitorous actions of his family. Thralled to the envoys of a corrupt new power, they have turned upon their kingdom and their god.",€44.60,science fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,The first adventure in the spellbinding Harry Potter saga ? the series that changed the world of books forever...,€19.20,science fiction
Super Sad True Love Story,Gary Shteyngart,"The brilliantly inventive, wildly funny and humane new novel, set in an economically and politically collapsed America, by the author of the best-selling Absurdistan.",€13.01,science fiction
Erotic Stories for Punjabi Widows,Balli Kaur Jaswal,"Reese Witherspoon's March Book Club Pick!
'Big-hearted, earthy and funny... A rattlingly good story' Deborah Moggach, The Best Exotic Marigold Hotel
Every woman has a secret life...",€15.25,science fiction
Fate of Ten,Pittacus Lore,The brand new instalment in the bestselling Lorien Legacies series will delight fans of I Am Number Four...,€71.36,science fiction
World of Ice and Fire,"George R.R. Martin, Elio M. Garcia Jr.",The never-before-seen history of Westeros and the lands beyond. With hundreds of pages of all-new material from George R.R. Martin.,€11.81,science fiction
Honours,Tim Clare,"Northern Lights meets Neil Gaiman in this box of delights . a dark, glittering and dangerously unputdownable novel which invites you to enter a thrilling and fantastical world unlike any other.",€13.64,science fiction
Remaining,D. J. Molles,"The first volume in D.J. Molles's bestselling series, now in a special edition with the bonus novella The Remaining: Faith.",€12.89,science fiction
Dreamfever,Karen Marie Moning,"He has stolen her past, but MacKayla will never allow her sister's murderer to take her future. Yet even the uniquely gifted sidhe-seer is no match for the Lord Master, who has unleashed an insatiable sexual craving that consumes Mac's every thought - and thrusts her into the seductive realm of two very dangerous men.",€14.68,science fiction
Seed of Destruction,"Mike Mignola, John Byrne","Since Mike Mignola's Hellboy first hit the stands in 1993, it has become a cultural sensation, racking up a dozen Eisner Awards and inspiring numerous spinoffs, from a novel line, to video games, to feature films. Now, Dark Horse is pleased to present the comics that started it all.",€12.94,science fiction
Half-Blood (The First Covenant Novel),Jennifer L. Armentrout,First book in the addictive Covenant series from #1 New York Times bestselling Jennifer L. Armentrout.,none,science fiction
Bone Clocks,David Mitchell,"The dazzling new novel from the author of Cloud Atlas, at once the kaleidoscopic story of an unusual woman's life, a metaphysical thriller and a profound meditation on mortality and survival.",none,science fiction
Caraval,Stephanie Garber,"Welcome to Caraval, where nothing is quite as it seems. A mesmerising, magical and stunningly imaginative debut novel for anyone who loved The Night Circus and Daughter of Smoke and Bone.",none,science fiction
White Night,Jim Butcher,"An action-packed case file from Harry Dresden, private investigator and wizard, by international bestselling author Jim Butcher",none,science fiction
Graveyard Book,"Neil Gaiman, Dave McKean","WINNER of the 2010 Cilip Carnegie Medal, the Newbery Medal and the Booktrust Teenage Book Prize 2009, and shortlisted for the Kate Greenaway Award Adult edition of Neil Gaiman's highly anticipated new novel, stunningly illustrated by Gaiman's long-time collaborator, Dave McKean.",none,science fiction
