title,authors,overview,price(€),genre
Rebecca,Daphne Du Maurier,A dark tale of the feminine unconscious.,€11.87,classic
Handmaid's Tale,Margaret Atwood,"With her only function in life to breed, Offred faces a life of sexual servitude; refusal to accept her place will lead to hanging or being exiled to slowly die of radiation sickness. But even these threats aren't enough to stop Offred hoping for something more, or quench the desire of the two men who can decide her future. Told through a series of flashbacks, Offred recalls her life before...",€20.87,classic
Foundation,Isaac Asimov,"The first volume in Issac Asimov's world-famous saga, winner of the Hugo Award for Best All-Time Novel Series.",€32.95,classic
Great Dune Trilogy,Frank Herbert,"The classic Dune trilogy, one of the most influential SF series ever written
'I know nothing comparable to it except The Lord of the Rings' Arthur C Clarke",€12.99,classic
Swallowdale,Arthur Ransome,"Then they discover a wonderful hidden valley and things take a turn for the better...
BACKSTORY: Discover the real Swallowdale, swot up on seafaring and learn all about the adventurous author.",€13.41,classic
Lord of the Flies,William Golding,"William Goldings classic debut novel, republished to mark his centenary.",€12.54,classic
Flowers For Algernon,Daniel Keyes,"A modern classic, Flowers for Algernon has sold over five million copies worldwide and inspired the Academy Award-winning film Charly.",€29.45,classic
Peter Pan (MinaLima Edition) (lllustrated with Interactive Elements),"J. M. Barrie, MinaLima Ltd.","A full-color deluxe edition of Barrie's classic features all-new illustrations and 10 removable features designed by an award-winning studio, including a Neverland map, multicolored tri-folds and a pouch of fairy dust. 100,000 first printing.",€15.50,classic
Independent People,Halldór Laxness,"Bjartus is a sheep farmer determined to eke a living from a blighted patch of land. Nothing, not merciless weather, nor his family will come between him and his goal of financial independence. Only Asta Solillja, the child he brings up as his daughter, can pierce his stubborn heart.",€25.58,classic
To Kill A Mockingbird,Harper Lee,"'Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.'
Atticus Finch gives this advice to his children as he defends the real mockingbird of this classic novel - a black man charged with attacking a white girl.",€11.81,classic
To Kill A Mockingbird,Harper Lee,"Seen through the young, innocent eyes of Scout Finch, Harper Lee's To Kill a Mockingbird is a classic, earning her the Pulitzer Prize and the Presidential Medal of Freedom for her contribution to literature. As Scout watches her father, Atticus Finch, defend a black man accused of rape, the adult attitudes to race and class are exposed in all their irrationality, revealing the prejudice and...",€13.31,classic
Handmaid's Tale,Margaret Atwood,"NOW A SMASH-HIT CHANNEL 4 TV SERIES - Offred is a Handmaid in the Republic of Gilead. If she deviates, she will, like dissenters, be hanged at the wall or sent out to die slowly of radiation sickness. But even a repressive state cannot obliterate desire - neither Offred's nor that of the two men on which her future hangs.",€12.16,classic
Charlie and the Chocolate Factory,Roald Dahl,"Tells the story of Charlie Bucket, a mysterious, eccentric chocolate factory owner and the golden ticket that transforms his existence.",€11.06,classic
Daisy Miller and The Turn of the Screw,Henry James,"Travelling in Europe with her family, Daisy Miller, an exquisitely beautiful young American woman, presents her fellow-countryman Winterbourne with a dilemma he cannot resolve. Is she deliberately flouting social convention in the outspoken way she talks and acts, or is she simply ignorant of those conventions?",€12.86,classic
Do Androids Dream Of Electric Sheep?,Philip K Dick,"The book that inspired the movie Blade Runner. World War Terminus had left the Earth devastated. Through its ruins, bounty hunter Rick Deckard stalked, in search of the renegade replicants who were his prey...",€13.55,classic
Wolf of the Plains,Conn Iggulden,The first book in the bestselling Conqueror series featuring Genghis Khan and his descendants.,€13.65,classic
I Served The King Of England,Bohumil Hrabal,"WITH AN INTRODUCTION BY ADAM THIRLWELL
'Our very best writer today' Milan Kundera
Sparkling with comic genius and narrative exuberance, I Served the King of England is a story of how the unbelievable came true.",€33.70,classic
Lewis Carroll's Alice's Adventures in Wonderland: With Artwork by Yayoi Kusama,Lewis Carroll,"Since childhood, Kusama has been afflicted with a condition that makes her see spots, which means she sees the world in a surreal, almost hallucinogenic way that sits very well with the Wonderland of Alice.",€14.94,classic
The Snow Queen and Other Winter Tales,Various Authors,"This anthology gathers 100 tales that share the winter theme of Hans Christian Andersen's classic. In addition to stories by Andersen and the Brothers Grimm, it includes works by Dickens, Louisa May Alcott, Wilde, selections from Andrew Lang's fairy books, and Alexandre Dumas's The History of a Nutcracker.",€21.69,classic
Arabian Nights (Barnes & Noble Collectible Editions),Richard Francis Burton,"This collection features more than twenty stories, in the classic translation of Sir Richard Burton, published between 1884 and 1886, and full-colour illustrations by Renata Fucikova and Jindra Capek. Among them are some of the best-known legends of eastern storytelling, including the ""Sinbad the Sailor"" and ""Aladdin and His Magic Lamp"" .",€12.16,classic
Monster Calls,"Patrick Ness, Siobhan Dowd",An extraordinarily moving novel about coming to terms with loss.,€109.60,classic
Hobbit,"J. R. R. Tolkien, David Wenzel",A brand new revised edition of the best-selling graphic novel based on the enchanting prelude to The Lord of the Rings.,€7.01,classic
Slaughterhouse 5,Kurt Vonnegut,"He is a true artist' New York Times Book Review
Billy Pilgrim ? hapless barber's assistant, successful optometrist, alien abductee, senile widower and soldier ? has become unstuck in time.",€22.03,classic
Major Works of Charles Dickens (Boxed Set),Charles Dickens,"2012 is the two-hundredth anniversary of the birth of one of our greatest and most important novelists, Charles Dickens. This title includes six of his works.",€12.03,classic
Adventures Of Huckleberry Finn,Mark Twain,"HarperCollins is proud to present its new range of best-loved, essential classics.",€21.59,classic
Christmas Carol and Other Christmas Writings,Charles Dickens,"Features ""Christmas Carol"" that had a significant influence upon our ideas about the Christmas spirit, and about the season as a time for celebration, charity, and memory.",€13.31,classic
Whisperer in Darkness,H.P. Lovecraft,"Millenia ago, the Old Ones ruled our planet. Since that time, they have but slumbered. But when a massive sea tremor brings the ancient stone city of R'lyeh to the surface once more, the Old Ones awaken at last. This work brings together the original Cthulhu Mythos stories of the legendary horror writer H P Lovecraft.",€74.98€86.34,classic
Madame Bovary,"Gustave Flaubert, Jessica Hische","""This translation first published ... 2010""--T.p. verso.",€16.34,classic
Secret Garden,Frances Hodgson Burnett,An enchanting classic of children's literature that never fails to delight.,€7.69,classic
Silmarillion,J. R. R. Tolkien,"To celebrate the 30th anniversary of first publication, a new de luxe edition of The Silmarillion, featuring the revised, reset text, a colour frontispiece illustration, bound in special materials and presented in a matching slipcase.",€7.72,classic
Herbert West - Reanimator & The Colour Out of Space,H.P. Lovecraft,"First published in 1886, Dr Jekyll and Mr Hyde was an instant success that propelled Robert Louis Stevenson to fame. Exploring the duality of human nature, it's a terrifying study into the conflicts felt within everyone and the dangers of not acting on your better nature. As well as an introduction by Dr Tim Middleton, this edition also includes Stevenson's collection of six short stories,...",€11.87,classic
Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Jules Verne's third science fiction novel describes the discovery and exploration of a secret tunnel which leads through a volcano to the centre of the Earth in this classic thriller.,€11.70,classic
Journey to the Centre of the Earth,Jules Verne,A novel of a daring experiment in human intelligence.,€52.43,classic
Flowers For Algernon,Daniel Keyes,"Intense relationship between the gypsy foundling Heathcliff and Catherine Earnshaw; and how Catherine, forced to choose between passionate, tortured Heathcliff and gentle, well-bred Edgar Linton, surrendered to the expectations of her class.",€14.36,classic
